Composition,Energy Above Convex Hull,magnetic moment,ind. PBE,dir. PBE,PBE bandgap,effective hole mass,|P| LDA,Cation1 en,Cation2 en,Anion en,electronegativity diff bw anion and cation,min of e.n. diff
RbSnBr3,0.005,0,1.09,1.09,1.09,0.19,3,0.82,1.96,2.96,-0.18,1
RbSnCl3,0.022,0,1.43,1.43,1.43,0.22,3,0.82,1.96,3.16,-0.38,1.2
RbSnF3,0.052,0,1.95,1.95,1.95,0.32,3,0.82,1.96,3.98,-1.2,2.02
RbSnI3,0.036,0,0.47,0.47,0.47,0.11,3,0.82,1.96,2.66,0.12,0.7
RbSrCl3,0.038,0,4.63,4.83,4.83,3.08,0,0.82,0.95,3.16,-1.39,2.21
RbVF3,0,0,0.63,0.96,0.96,3.27,1,0.82,1.63,3.98,-1.53,2.35
RbZnF3,0,0,3.66,4.79,4.79,1.27,0,0.82,1.65,3.98,-1.51,2.33
SrHfO3,0.03,0,3.75,4.07,4.07,2.01,0,0.95,1.3,3.44,-1.19,2.14
SrSnO3,0.03,0,0.95,1.77,1.77,1.99,7,0.95,1.96,3.44,-0.53,1.48
SrTiO3,0,0,1.96,2.47,2.47,3.78,0,0.95,1.54,3.44,-0.95,1.9
SrZrO3,0.047,0,3.33,3.63,3.63,2.08,0,0.95,1.33,3.44,-1.16,2.11
TlCaCl3,0.042,0,3.93,4.3,4.3,2.46,0,1.62,1,3.16,-0.54,1.54
TlCaF3,0.029,0,4.47,4.48,4.48,1.56,27,1.62,1,3.98,-1.36,2.36
TlCdCl3,0.05,0,1.86,2.57,2.57,0.87,0,1.62,1.69,3.16,0.15,1.47
TlCdF3,0,0,3.83,4.22,4.22,1.17,0,1.62,1.69,3.98,-0.67,2.29
TlGeBr3,0.04,0,1.28,1.28,1.28,0.21,0,1.62,2.01,2.96,0.67,0.95
TlGeCl3,0.016,0,1.37,1.37,1.37,0.17,0,1.62,2.01,3.16,0.47,1.15
TlGeF3,0.007,0,2.8,3.07,3.07,1.73,11,1.62,2.01,3.98,-0.35,1.97
TlHgF3,0,0,2.06,3.06,3.06,11.37,70,1.62,2,3.98,-0.36,1.98
TlIO3,0,0,2.63,2.63,2.63,2,47,1.62,2.66,3.44,0.84,0.78
TlMgF3,0,0,4.25,4.29,4.29,1.81,1,1.62,1.31,3.98,-1.05,2.36
TlMnF3,0.005,0,1.37,2.42,2.42,1.32,0,1.62,1.55,3.98,-0.81,2.36
TlNiF3,0.038,0,0.4,0.69,0.69,3.29,1,1.62,1.91,3.98,-0.45,2.07
TlSnF3,0.04,0,2.33,2.7,2.7,1.25,21,1.62,1.96,3.98,-0.4,2.02
TlZnF3,0,0,4.01,4.09,4.09,1.95,3,1.62,1.65,3.98,-0.71,2.33
